date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:57	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2025%20Apr%202021%2021:14:56%20GMT	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/syllabus.pdf	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/syllabus.1c.delayed	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/index.html)
00:15:00	12375/12375	---M--	200	added ('OK')	image/png	etag:%22e9e209925999c2e3cb086840421225fb%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/images/footer_CS.png	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/images/footer_CS.png	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/index.html)
00:15:00	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2025%20Apr%202021%2021:14:59%20GMT	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/font/fontawesome-webfont.eot?v=4.0.1	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/font/fontawesome-webfont.209b1a.delayed	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/fonts.css)
00:15:01	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2025%20Apr%202021%2021:15:00%20GMT	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/font/fontawesome-webfont.eot?	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/font/fontawesome-webfont.21d41d.delayed	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/fonts.css)
00:15:01	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2025%20Apr%202021%2021:15:00%20GMT	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/font/fontawesome-webfont.woff?v=4.0.1	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/font/fontawesome-webfont.229b1a.delayed	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/fonts.css)
00:15:02	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2025%20Apr%202021%2021:15:01%20GMT	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/font/fontawesome-webfont.ttf?v=4.0.1	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/font/fontawesome-webfont.239b1a.delayed	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/fonts.css)
00:15:02	26489/26489	---M--	200	added ('OK')	image/png	etag:%22d3cf9630c96875bcc999497e10d0ebd2%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/images/footer.png	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/images/footer.png	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/index.html)
00:15:02	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2025%20Apr%202021%2021:15:01%20GMT	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/font/fontawesome-webfont.svg?v=4.0.1	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/font/fontawesome-webfont.249b1a.delayed	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/fonts.css)
00:15:03	68588/68588	---M--	200	added ('OK')	image/png	etag:%227544a2f1cc9e90c7fe03cb081b63cc4e%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/images/csc2010.png	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/images/csc2010.png	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/index.html)
00:15:09	192213/192213	---M--	200	added ('OK')	application/pdf	etag:%22dc40f3e2779678f51769f4da1617406c%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/Quiz1.pdf	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/Quiz1.pdf	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/index.html)
